election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,votes_cast,turnout,votes_disq,disq_pct,validated_votes,MOV_votes,MOV_pct,win_votes,win_pct,win_party,win_name,second_votes,second_pct,second_party,second_name,third_votes,third_pct,third_party,third_name,remainder_votes,remainder_pct,effective_parties,Cox_SF_ratio,winbuckets,delimit
10/6/93,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,248765,91831,0.369147589,1925,0.02096242,89906,4588,0.051031077,40343,0.448724223,Pakistan Peoples Party Parliamentarians,Syed Zafar Ali Shah,35755,0.397693146,Awami National Party,Haji Ghulam Ahmad Bilour,9725,0.108168532,Pakistan Islamic Front,Haji Dost Muhammad,4083,0.045414099,2.689407034,0.271989931,157,Other Delimitation
4/3/97,Re-Polling,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,260968,38326,0.146860918,385,0.0100454,37941,14655,0.386257611,25930,0.683429535,Awami National Party,Alhaj Ghulam Ahmad Bilour,11275,0.297171925,Pakistan Peoples Party Parliamentarians,Qamar Abbas,223,0.005877547,Independents,Aurangzeb Mohmand,513,0.013520993,1.800277417,0.019778271,18,Other Delimitation
10/10/02,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,233907,67194,0.287268017,1552,0.0230973,65642,14177,0.215974529,37179,0.566390421,Muttahidda Majlis-e-Amal Pakistan,Shabir Ahmad,23002,0.350415892,Awami National Party,Usman Bashir Bilour,2029,0.030910088,Pakistan Tehreek-e-Insaf,Sajid Abdullah,3432,0.052283599,2.244104169,0.088209721,96,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88954,0.229806011,629,0.00707107,88325,6528,0.073908859,44210,0.500537787,Awami National Party,Haji Ghulam Ahmed Bilour,37682,0.426628927,Pakistan Peoples Party Parliamentarians,Ayub Shah,4103,0.046453439,Jamiat Ulema-e Islam (Fazl),Haji Abdul Jalil Jan,2330,0.026379847,2.299846343,0.108884879,18,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578,148147,0.462124662,2103,0.01419536,146044,66032,0.452137712,90500,0.619676262,Pakistan Tehreek-e-Insaf,Imran Khan,24468,0.16753855,Awami National Party,Alhaaj Ghula Ahmad Bilour,7121,0.048759278,Pakistan Peoples Party Parliamentarians,Muhammad Zulfiqar Afghani,23955,0.16402591,2.381451948,0.291033186,166,Delimitation 2002-2013
8/22/13,By-Election,Contested,NA-1,Peshawar-I,Khyber Paktunkhwa (NWFP),National,320581,73724,0.229969961,1093,0.014825566,72631,5475,0.075381036,34386,0.473434209,Awami National Party,Alhaj Ghulam Ahmad Bilour,28911,0.398053173,Pakistan Tehreek-e-Insaf,Gul Badshah,6673,0.09187537,Jamiat Ulama-e-Islam (Sami),Muhammad Ibrahim Qasmi,2661,0.036637249,2.553119655,0.230811802,Other Parties,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,171858,60248,0.350568493,877,0.0145565,59371,5205,0.087669064,24519,0.412979401,Jamiat Ulama-e-Islam (Sami),Molana Shaheed Ahmad,19314,0.325310337,Pakistan Muslim League (Nawaz),Alhaj M. Aslam Khan Khattak,12976,0.218557882,Paktunkhwa Qaumi Party,Afrasiab Khattak,2562,0.043152381,3.078255894,0.671844258,Other Parties,Other Delimitation
2/3/97,General Election,Contested,NA-10,Karak,Khyber Paktunkhwa (NWFP),National,178803,57169,0.319731772,1338,0.023404293,55831,7363,0.131880138,22959,0.411223156,Awami National Party,Sahms-Ur-Rehman,15596,0.279343017,Independents,M. Aslam Khan Khattak,5945,0.106482062,Pakistan Muslim League (Nawaz),Raza Kuli Khan Khattak,11331,0.202951765,3.665879162,0.381187484,Other Parties,Other Delimitation
10/10/02,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,223817,89404,0.399451337,1713,0.019160217,87691,55185,0.629312016,69726,0.79513291,Muttahidda Majlis-e-Amal Pakistan,Molana M. Qasim,14541,0.165820894,Pakistan Peoples Party Parliamentarians,Rahim Dad Khan,2858,0.032591714,Pakistan Muslim League (Qaid-e-Azam),Sher M. Khan,566,0.006454482,1.513232934,0.196547693,96,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,96859,0.378300792,2928,0.030229509,93931,6141,0.065377777,29279,0.31170753,Jamiat Ulema-e Islam (Fazl),Maulana Mohammad Qasim,23138,0.246329753,Pakistan Peoples Party Parliamentarians,Nawabzada Abdul Qadir Khan,21115,0.224792667,Awami National Party,Mohammad Farooq Khan,20399,0.21717005,4.544564211,0.91256807,Other Parties,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,321660,162297,0.504560716,4834,0.029784901,157463,7262,0.046118771,46531,0.295504341,Pakistan Tehreek-e-Insaf,Ali Muhammad Khan,39269,0.24938557,Jamiat Ulema-e Islam (Fazl),Maulana Muhammad Qasim,19436,0.123432171,Awami National Party,Muhammad Farooq Khan,52227,0.331677918,5.130734507,0.494945122,166,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-100,Lahore 9,Punjab,National,166732,90365,0.541977545,856,0.009472694,89509,72,0.000804388,38433,0.429375817,Pakistan Peoples Party Parliamentarians,Ch. Khalid Javed Ghurki,38361,0.428571429,Pakistan Muslim League (Nawaz),Ch. M. Ashiq Dial,11107,0.124088081,Pakistan Islamic Front,Qazi Hussain Ahmad,1608,0.017964674,2.607204609,0.289538855,157,Other Delimitation
2/3/97,General Election,Contested,NA-100,Lahore 9,Punjab,National,176978,80664,0.455785465,1964,0.024347912,78700,500,0.00635324,28589,0.363265565,Independents,Ch. M. Ashiq Diyal,28089,0.356912325,Pakistan Muslim League (Nawaz),Shaukat Ali,19804,0.251639136,Pakistan Peoples Party Parliamentarians,Ch. Khalid Javed Ghurki,2218,0.028182973,3.0975508,0.705044679,45,Other Delimitation
10/10/02,General Election,Contested,NA-100,Gujranwala 6,Punjab,National,280754,138474,0.493221824,5532,0.039949738,132942,23852,0.179416588,73107,0.549916505,Pakistan Muslim League (Qaid-e-Azam),Ch. Bilal Ijaz,49255,0.370499917,Pakistan Muslim League (Haqiqi),Hamed Nasir Chattha,8375,0.062997397,Muttahidda Majlis-e-Amal Pakistan,M. Ehsanullah,2205,0.01658618,2.252893071,0.170033499,142,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,158190,0.48055045,8388,0.053024844,149802,4035,0.026935555,57320,0.382638416,Independents,Haji Mudassar Qayyum Nahra,53285,0.355702861,Pakistan Muslim League (Qaid-e-Azam),Chaudhry Bilal Ijaz,32511,0.217026475,Pakistan Peoples Party Parliamentarians,Tariq Yaqoob Fateh Muhammad,6686,0.044632248,3.107352446,0.610134184,45,Delimitation 2002-2013
8/5/10,By-Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,144216,0.438100156,1320,0.009152937,142896,4211,0.029468984,71112,0.49764864,Pakistan Peoples Party Parliamentarians,Chaudhry Tassaduq Masood Khan,66901,0.468179655,Pakistan Muslim League (Nawaz),Azhar Qayyum Nahra,2639,0.018467977,Pakistan Muslim League (Qaid-e-Azam),Khalid Mehmood Manj,2244,0.015703729,2.140195476,0.039446346,157,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,288271,185169,0.642343489,5324,0.028752113,179845,19508,0.108471184,89826,0.499463427,Pakistan Muslim League (Nawaz),Azhar Qayyum Nahra,70318,0.390992243,Independents,Ch Bilal Ijaz,6833,0.037993828,Pakistan Peoples Party Parliamentarians,Tussadiq Masood Khan,12868,0.071550502,2.467103875,0.097172843,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,272935,123331,0.451869493,1343,0.010889395,121988,11530,0.094517494,63049,0.516845919,Pakistan Peoples Party Parliamentarians,Nisar Ahmad Pannu,51519,0.422328426,Pakistan Muslim League (Nawaz),Rana Tanveer Hussain,6054,0.049627832,Pakistan Islamic Front,Riaz Ahmad Yazdani,1366,0.011197823,2.23207735,0.117510045,157,Other Delimitation
2/3/97,General Election,Contested,NA-101,Sheikhupura 1,Punjab,National,290045,104160,0.359116689,2693,0.025854455,101467,40710,0.401214188,66902,0.659347374,Pakistan Muslim League (Nawaz),Rana Tanveer Hussain,26192,0.258133186,Pakistan Peoples Party Parliamentarians,Nasir Ahmad Pannu,3886,0.038298166,Independents,M. Saleem,4487,0.044221274,1.983727485,0.148365913,141,Other Delimitation
10/10/02,General Election,Contested,NA-101,Gujranwala 7,Punjab,National,302628,148718,0.491421812,4897,0.032928092,143821,4816,0.033486069,69171,0.480952017,Pakistan Muslim League (Haqiqi),Hamid Nasir Chattha,64355,0.447465947,Pakistan Peoples Party Parliamentarians,Asma Shahnawaz,7169,0.049846684,Independents,Shaukat Hayat Chattha,3126,0.021735352,2.30208434,0.111397716,Other Parties,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,165902,0.439312573,4892,0.029487288,161010,22979,0.142717844,71792,0.445885349,Pakistan Muslim League (Nawaz),Justice Iftikhar Ahmad Cheema,48813,0.303167505,Pakistan Muslim League (Qaid-e-Azam),Hamid Nasir Chatha,37554,0.233240171,Pakistan Peoples Party Parliamentarians,Asma Shahnawaz Cheema,2851,0.017706975,2.895627816,0.769344232,141,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,352057,204854,0.581877366,6397,0.031227118,198457,39129,0.197166137,99924,0.503504538,Pakistan Muslim League (Nawaz),Justice (Ret) Iftikhar Ahmad Cheema,60795,0.306338401,Pakistan Muslim League (Haqiqi),Muhammad Ahmad Chatha,13886,0.069969817,Pakistan Muslim League (Qaid-e-Azam),Ch Sajid Hussain Chatha,23852,0.120187245,2.800970038,0.228406941,141,Delimitation 2002-2013
3/22/16,By-Election,Contested,NA-101,Gujranwala-Vii,Punjab,National,386016,171313,0.443797666,2238,0.013063807,169075,1669,0.009871359,82887,0.49023806,Pakistan Muslim League (Nawaz),Justice (R) Iftikhar Ahmed Cheema,81218,0.480366701,Pakistan Tehreek-e-Insaf,Muhammad Ahmed Chattah,3545,0.020967026,Pakistan Peoples Party Parliamentarians,Ejaz Ahmed Cheema,1425,0.008428212,2.120732668,0.04364796,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,272887,129672,0.4751857,1351,0.010418595,128321,4556,0.035504711,61465,0.478994085,Pakistan Peoples Party Parliamentarians,Haji Munawar Hussain Manj,56909,0.443489374,Pakistan Muslim League (Nawaz),Mehmood Akbar Khan,7062,0.05503386,Pakistan Islamic Front,Ch. Nazir Ahmad Virk,2885,0.02248268,2.329009328,0.12409285,157,Other Delimitation
2/3/97,General Election,Contested,NA-102,Sheikhupura 2,Punjab,National,283351,109193,0.38536303,2418,0.022144277,106775,33400,0.312807305,67003,0.627515804,Pakistan Muslim League (Nawaz),Mahmood Akbar Khan,33603,0.314708499,Pakistan Peoples Party Parliamentarians,Haji Munawar Hussain Manj,1980,0.018543667,Independents,Qaisar Zulfiqar Bhatti,4189,0.03923203,2.025284949,0.05892331,141,Other Delimitation
10/10/02,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,221662,114784,0.517833458,3994,0.03479579,110790,7606,0.068652405,50824,0.458741764,Pakistan Muslim League (Qaid-e-Azam),Ch. Mehdi Hasan Bhatti,43218,0.390089358,Pakistan Muslim League (Nawaz),Brig. (R) M. Usman Tarar,15079,0.136104342,Pakistan Peoples Party Parliamentarians,Ahmad Bilal Tarar,1669,0.015064537,2.622796719,0.348905549,142,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649,125244,0.611994195,4556,0.036376992,120688,13505,0.111900106,56313,0.466599828,Pakistan Muslim League (Nawaz),Saira Afzal Tarar,42808,0.354699722,Pakistan Muslim League (Qaid-e-Azam),Ch. Shoukat Ali Bhatti,21567,0.178700451,Pakistan Peoples Party Parliamentarians,Malik Shoukat Hayyat Awan,0,0,2.663391452,0.503807699,141,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,284417,178109,0.626224874,4298,0.02413129,173811,26066,0.149967493,93691,0.539039531,Pakistan Muslim League (Nawaz),Saira Afzal Tarar,67625,0.389072038,Independents,Chaudhary Shaukat Ali Bhatti,5653,0.032523833,Pakistan Tehreek-e-Insaf,Riaz Ahmad Tarar,6842,0.039364597,2.254861334,0.083593346,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-103,Sheikhupura 3,Punjab,National,220398,101557,0.460789118,949,0.009344506,100608,6914,0.068722169,46853,0.465698553,Pakistan Muslim League (Nawaz),M. Burjees Tahir,39939,0.396976384,Pakistan Peoples Party Parliamentarians,M. Arif Awan,13497,0.134154342,Independents,Ishtiaq Ahmad Cheema,319,0.003170722,2.54794706,0.337940359,141,Other Delimitation
2/3/97,General Election,Contested,NA-103,Sheikhupura 3,Punjab,National,229395,90317,0.393718259,2421,0.026805585,87896,29494,0.335555657,52199,0.593872304,Pakistan Muslim League (Nawaz),Ch. M. Barjees Tahir,22705,0.258316647,Pakistan Peoples Party Parliamentarians,Rai Ijaz Ahmad Khan,5493,0.062494311,Pakistan Tehreek-e-Insaf,Mian Shahid Haider,7499,0.085316738,2.351020357,0.241929091,141,Other Delimitation
10/10/02,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,206486,115347,0.558618986,3502,0.030360564,111845,24636,0.220269122,67626,0.60464035,Pakistan Muslim League (Qaid-e-Azam),Ch. Liaqat Abbas Bhatti,42990,0.384371228,Independents,Ch. Sarfraz Khan Bhatti,1229,0.010988421,Pakistan Tehreek-e-Insaf,"Mian Akhtar Hussain Khan Bhatti, Adv.",0,0,1.947601954,0.028588044,142,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007,125483,0.633730121,4100,0.032673749,121383,2380,0.019607359,56791,0.467866176,Pakistan Muslim League (Qaid-e-Azam),Ch. Liaqat Abbas Bhatti,54411,0.448258817,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan,10181,0.083875007,Pakistan Peoples Party Parliamentarians,Mushtaq Ahmad Mohal,0,0,2.342635002,0.1871129,142,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,259256,167590,0.646426698,4852,0.028951608,162738,322,0.001978641,76199,0.468231145,Independents,Choudhary Liaqat Abbas Bhatti,75877,0.466252504,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan Bhatti,4454,0.027369145,Pakistan Tehreek-e-Insaf,Akhtar Hussain Bhatti,6208,0.038147206,2.285051131,0.058700265,45,Delimitation 2002-2013
8/22/13,By-Election,Contested,NA-103,Hafizabad-Ii,Punjab,National,259584,148218,0.570982803,1850,0.012481615,146368,11041,0.075433155,78113,0.533675394,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan Bhatti,67072,0.458242239,Pakistan Tehreek-e-Insaf,Choudary Shokat Ali Bhatti,479,0.003272573,Pakistan Peoples Party Parliamentarians,Zaka Ullah,704,0.004809794,2.020956217,0.007141579,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-104,Sheikhupura 4,Punjab,National,294888,123028,0.417202463,1047,0.008510258,121981,458,0.003754683,60917,0.499397447,Pakistan Peoples Party Parliamentarians,Ch. Tawakkalullah Virk,60459,0.495642764,Pakistan Muslim League (Nawaz),Haji Naeem Hussain Chatha,605,0.004959789,Independents,Malik Nazir Ali Noorka,0,0,2.019858607,0.010006781,157,Other Delimitation
2/3/97,General Election,Contested,NA-104,Sheikhupura 4,Punjab,National,300548,110189,0.366626961,2890,0.026227663,107299,43742,0.407664564,72038,0.671376248,Pakistan Muslim League (Nawaz),Naeem Hussain Chattha,28296,0.263711684,Pakistan Peoples Party Parliamentarians,Ch. Tawakalullah Virk,2760,0.025722514,Pakistan Tehreek-e-Insaf,Ch. M. Sadiq Dhillun,4205,0.039189554,1.917608503,0.097540288,141,Other Delimitation
